sku,un_bx
06180,5
06171,5
06170,5
06168,5
78496,10
78499,10
78498,10
78502,10
78497,10
78501,10
78500,10
78503,10
78504,10
78505,10
06053,5
06037,5
06041,5
06042,5
06038,5
06040,5
06039,5
06043,5
06048,5
06096,5
06052,5
06080,5
06081,5
06085,5
06086,5
06082,5
06084,5
06083,5
06087,5
06089,5
06101,5
02193,25
02195,50
02187,100
08033,40
78457,40
08034,40
78458,40
03117,100
03386,100
06142,5
06143,5
06144,5
06145,5
06146,5
06147,5
06148,5
06151,5
06152,5
06153,5
79104,240
79103,240
79109,240
79119,180
79115,144
79130,144
79131,144
79155,144
79157,144
79158,144
79114,144
79060,144
79061,144
79087,144
79084,144
79085,144
79093,144
79120,144
79129,144
79132,144
79133,144
79154,144
79156,144
79095,144
76128,288
76148,144
76150,144
76136,144
76229,144
76137,144
76138,144
76141,144
76231,144
76139,144
76140,144
76129,144
76164,192
76105,192
76165,192
76106,192
76166,192
76107,192
76167,192
76215,192
76173,192
76216,192
76174,192
76217,192
76175,192
76218,192
76207,192
76208,192
76112,192
76209,192
76110,192
76210,192
76098,192
76157,192
76099,192
76158,192
76100,192
76159,192
76160,192
76161,192
76103,192
76162,192
76264,192
76265,192
76266,192
76267,192
76268,192
76269,192
72030,144
72036,144
72031,144
72037,144
72032,144
77256,144
77257,144
77258,144
77259,144
77260,144
77261,144
85005,30
85007,80
85768,80
85008,50
85801,200
85163,120
85164,120
85770,240
85868,200
85871,240
85166,60
85172,120
85171,120
85174,120
85175,120
85179,120
85180,120
85183,120
85889,120
85185,120
85187,120
85623,60
85823,120
85824,120
85190,120
85192,120
85194,120
85887,72
85196,120
85173,120
85167,120
85863,144
85168,120
85861,128
85870,120
85206,240
85207,120
85205,240
85208,240
85209,240
85210,240
85890,240
85212,480
85213,240
85214,800
85216,240
85877,120
85886,120
85885,120
85218,10
85220,60
85226,20
85229,720
85230,120
85700,120
85231,720
85234,240
85235,120
85236,240
85238,240
85654,240
85239,240
85240,60
85864,60
85849,120
85701,240
85243,240
85241,240
85244,240
85245,240
85247,480
85248,240
85249,240
85250,240
85779,240
85831,600
85880,120
85866,120
85869,60
85822,20
85288,40
85696,40
85694,40
85695,40
85697,40
85693,40
85304,20
85305,20
85356,100
85380,10
85821,10
85379,2
85374,6
85384,120
85385,120
85401,10
85395,5
85397,5
85881,6
85882,6
85883,6
85884,6
85595,200
85602,56
85186,120
85191,120
85669,18
85828,6
85286,54
85619,10
85024,12
85028,12
85645,5
85036,800
85064,5
85066,5
85662,10
85707,10
85714,10
85068,6
85072,6
85798,40
85085,4
85086,1
85789,4
85790,4
85794,4
85855,1
85111,60
85736,60
85738,60
85739,60
85740,60
85741,60
85742,60
85124,30
85125,40
85128,63
85134,10
85135,40
85136,60
85140,6
85141,18
85142,8
85744,30
85769,2
85751,5
85752,5
85753,5
85754,5
85820,20
85195,240
85655,120
85667,60
85809,120
85810,72
85848,60
85867,120
85878,72
85219,20
85221,100
85222,5
85223,10
85224,20
85225,20
85799,24
85237,240
85242,240
85246,480
85668,120
85771,240
85813,240
85830,480
85572,120
85573,120
85574,120
85291,12
85355,12
85360,30
85353,12
85373,6
85376,1
85377,20
85378,20
85382,20
85383,56
85419,50
85698,50
85699,50
85872,50
85873,50
85599,50
85597,100
85598,60
85605,100
85609,80
